timestamp;source;destination;port_source;port_destination;details;protocole;flags;length
11:42:29.649018;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 122976:124424, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649019;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 124424:125872, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649021;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 125872:127320, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649022;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 127320:128768, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649024;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 128768:130216, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649025;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 130216:131664, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649026;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 131664:133112, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649027;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 133112:134560, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649029;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 134560:136008, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649031;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 136008:137456, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649032;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 137456:138904, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649033;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 138904:140352, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649034;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 140352:141800, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649112;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 141800:143248, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649114;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 143248:144696, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649116;mauves.univ-st-etienne.fr.https;BP-Linux8.40682;;;Flags [.], seq 144696:146144, ack 1322, win 252, options [nop,nop,TS val 172356753 ecr 102923481], length 1448;Unknown;.;1448
11:42:29.649117;mauves.univ-st-etienne.fr.https;BP-Linux8.40678;;;Flags [.], seq 106178:107626, ack 2875, win 286, options [nop,nop,TS val 172356753 ecr 102923482], length 1448;Unknown;.;1448
